What is EM API, The Entity Management API will allow users to request Public Entity Information based on various optional request parameters.
How to connect to beta sam development environment,VDI is good way
"After submitting a System Account change request, can I edit it?","No, the change request has to be rejected by the approver, or deleted by either the person who created the account or the System Account Administrator."
Are all SCA wage determinations available online at beta.SAM.gov?,"No.  However, you can obtain most SCA Wage Determinations (WDs) on beta.SAM.gov using the online search tool. For example, the DOL Wage and Hour Division tracks the usage of certain SCA WDs, but that information is  not provided on beta.SAM.gov without a request. If an SCA wage determination is unavailable at beta.SAM.gov, the contracting agency may submit an e98 notification request. The e98 provides agencies with the means to request a wage determination from the Department of Labor (DOL) for SCA covered contracts. Note: It is only for Federal Agency’s use. General inquiries from interested parties may be directed to their contracting officer or to WHD-TheWiz@dol.gov."
Are parentheses still available in ad hoc contract data reports?,"When creating filters, when you choose &ldquo;OR&rdquo; between two items, the two items will indent. This is comparable to how parentheses worked in the tool on FPDS.gov. You can also manually indent a set of filters by clicking the right-pointing arrow next to the &ldquo;AND&rdquo; or &ldquo;OR.&rdquo;"
Are the categories and attributes within each contract data report category the same as in FPDS.gov ad hoc reporting?,"Yes, but there are more attributes available as well."
Are there more filters I can use?,"The filers that you see in the left rail are configurable, so that you can add  options that are meaningful to you, such as state.  On a search result page, in the upper left is blue text that says ""Change  Filter"".  In there, you can activate or deactivate any filter selections n you like."
"As a Federal Hierarchy Administrator, what data is needed to create an office?","Before you create an office, you will need the followinginformation: Office mailing address Office type (Financial Assistance Award, FinancialAssistance Funding, Contract Awards, ContractFunding)○ You may select none, one or more than    one office type per office. Beginning and end dates for each selected officetype.○ Beginning and end dates are optional.   You may select today’s date or any future   dates. Region (Optional)○ This field can be used to associate anoffice with a regional office and may bebeneficial for running reports. Agency Address Code (AAC) will be assignedautomatically if the AAC field is left blank. Youalso have the option to request a specific AAC forthe new office. Requestor Information such as name, email, andphone are pre-populated from your accountinformation. You will be asked to create a POC. It may be youor another person in your organization. The POCinformation will not be displayed publicly."
"As a Federal Hierarchy Administrator, where can I find helpful information on managing my hierarchy?",The Federal Hierarchy Administration Quick Start Guide provides step-by-step guidance.
Can an Active Notice be Edited?,"You will notice when you make a change to an existing opportunity notice and repost it, it is displayed as“updated” in beta.SAM.gov. This change allows you to make clarifications or corrections to the post without a formal solicitation amendment. To edit, go to your data entry workspace and scroll down to the Contract Opportunities Data Entry section and select the active notice you need to edit. Select edit to create a draft notice where you can edit the notice content. Update each section as required. You may delete attachments/links and add new attachments/links as needed. Once you’ve updated all pertinent fields and verified all entries, selectPublish and confirm you are ready for the changes to be made public."
Can a System Account Manager view a System Account created by a System Account Administrator?,"Yes, as long as the user belongs to the organization, entity, or office that is associated with the system account."
Can everyone see the 90-day Department of Defense (DoD) contract data?,"No, only users logged in with a DoD email address (e.g., an address ending in .mil) can view that data."
"Can I, as an administrator, limit a user's ability to manually enter data for contract opportunities in beta.SAM.gov when a contract writing system interface is in place?","When assigning a role for contract opportunities, you may elect to toggle off ""front end data entry"" in the permission list."
